1937-12-02 23:00:00, 1937-12-07 06:00:00, 36.537318, 4 days, 7:00:00, 0.0 
1938-01-02 16:00:00, 1938-01-02 16:00:00, 0.733151, 0:00:00, 0.0 
1938-01-15 13:00:00, 1938-01-15 16:00:00, 2.480435, 3:00:00, 0.0 
1938-01-18 04:00:00, 1938-01-19 18:00:00, 10.997932, 1 day, 14:00:00, 0.0 
1938-02-20 20:00:00, 1938-02-21 10:00:00, 4.652036, 14:00:00, 0.0 
1938-02-22 06:00:00, 1938-02-22 10:00:00, 2.235575, 4:00:00, 0.0 
1938-02-24 12:00:00, 1938-02-24 12:00:00, 0.764142, 0:00:00, 0.0 
1938-02-28 11:00:00, 1938-02-28 11:00:00, 0.679385, 0:00:00, 0.0 
1938-03-04 04:00:00, 1938-03-04 06:00:00, 1.620607, 2:00:00, 0.0 
1938-03-18 06:00:00, 1938-03-18 18:00:00, 4.387623, 12:00:00, 0.0 
1938-04-07 20:00:00, 1938-04-08 11:00:00, 4.874116, 15:00:00, 0.0 
1938-05-30 03:00:00, 1938-05-31 17:00:00, 26.154374, 1 day, 14:00:00, 0.0 
1938-06-29 13:00:00, 1938-06-29 17:00:00, 3.181700, 4:00:00, 0.0 
1938-09-30 21:00:00, 1938-09-30 23:00:00, 1.501953, 2:00:00, 0.0 
1938-10-03 21:00:00, 1938-10-04 01:00:00, 3.174970, 4:00:00, 0.0 
1938-10-07 10:00:00, 1938-10-07 15:00:00, 4.066482, 5:00:00, 0.0 
1938-10-29 09:00:00, 1938-11-01 09:00:00, 27.409364, 3 days, 0:00:00, 0.0 
1938-11-25 02:00:00, 1938-11-25 06:00:00, 3.934670, 4:00:00, 0.0 
1938-12-22 00:00:00, 1938-12-22 00:00:00, 0.669440, 0:00:00, 0.0 
1939-01-19 01:00:00, 1939-01-20 15:00:00, 7.787086, 1 day, 14:00:00, 0.0 
1939-01-31 22:00:00, 1939-02-01 00:00:00, 1.427616, 2:00:00, 0.0 
1939-03-13 05:00:00, 1939-03-13 22:00:00, 10.040085, 17:00:00, 0.0 
1939-03-16 10:00:00, 1939-03-16 10:00:00, 0.741290, 0:00:00, 0.0 
1939-04-28 19:00:00, 1939-04-30 02:00:00, 25.908400, 1 day, 7:00:00, 0.0 
1939-05-01 02:00:00, 1939-05-01 02:00:00, 0.951121, 0:00:00, 0.0 
1939-05-03 11:00:00, 1939-05-04 05:00:00, 7.134818, 18:00:00, 0.0 
1939-07-22 21:00:00, 1939-07-22 21:00:00, 0.703544, 0:00:00, 0.0 
1939-08-28 02:00:00, 1939-08-30 05:00:00, 30.885603, 2 days, 3:00:00, 0.0 
1939-08-31 04:00:00, 1939-08-31 05:00:00, 0.745154, 1:00:00, 0.0 
1939-10-31 16:00:00, 1939-10-31 16:00:00, 0.810675, 0:00:00, 0.0 
1939-11-20 08:00:00, 1939-11-23 09:00:00, 66.561086, 3 days, 1:00:00, 0.0 
1939-11-24 00:00:00, 1939-11-24 00:00:00, 0.722456, 0:00:00, 0.0 
1939-11-25 02:00:00, 1939-11-27 01:00:00, 16.335987, 1 day, 23:00:00, 0.0 
1939-12-27 15:00:00, 1939-12-27 17:00:00, 1.937876, 2:00:00, 0.0 
1940-01-08 15:00:00, 1940-01-08 15:00:00, 0.703194, 0:00:00, 0.0 
1940-01-09 16:00:00, 1940-01-09 16:00:00, 0.755144, 0:00:00, 0.0 
1940-01-14 16:00:00, 1940-01-14 19:00:00, 2.217990, 3:00:00, 0.0 
1940-01-15 19:00:00, 1940-01-15 19:00:00, 0.678697, 0:00:00, 0.0 
1940-01-24 03:00:00, 1940-01-24 17:00:00, 28.681208, 14:00:00, 0.0 
1940-02-19 08:00:00, 1940-02-21 15:00:00, 24.357118, 2 days, 7:00:00, 0.0 
1940-03-04 23:00:00, 1940-03-06 02:00:00, 8.666821, 1 day, 3:00:00, 0.0 
1940-05-23 02:00:00, 1940-05-25 05:00:00, 21.286874, 2 days, 3:00:00, 0.0 
1940-05-30 08:00:00, 1940-05-31 00:00:00, 7.289399, 16:00:00, 0.0 
1940-09-30 22:00:00, 1940-10-02 05:00:00, 20.308942, 1 day, 7:00:00, 0.0 
1940-10-16 23:00:00, 1940-10-17 05:00:00, 3.146199, 6:00:00, 0.0 
1940-12-28 00:00:00, 1940-12-29 16:00:00, 14.685394, 1 day, 16:00:00, 0.0 
1941-01-03 16:00:00, 1941-01-04 20:00:00, 12.134619, 1 day, 4:00:00, 0.0 
1941-01-10 23:00:00, 1941-01-10 23:00:00, 0.672607, 0:00:00, 0.0 
1941-01-11 13:00:00, 1941-01-14 04:00:00, 32.845075, 2 days, 15:00:00, 0.0 
1941-01-14 16:00:00, 1941-01-14 16:00:00, 0.710288, 0:00:00, 0.0 
1941-01-16 16:00:00, 1941-01-17 18:00:00, 6.328447, 1 day, 2:00:00, 0.0 
1941-01-25 12:00:00, 1941-01-25 15:00:00, 2.702870, 3:00:00, 0.0 
1941-01-27 12:00:00, 1941-01-29 17:00:00, 19.308102, 2 days, 5:00:00, 0.0 
1941-02-14 14:00:00, 1941-02-15 19:00:00, 14.529160, 1 day, 5:00:00, 0.0 
1941-03-01 06:00:00, 1941-03-01 06:00:00, 0.653097, 0:00:00, 0.0 
1941-04-06 06:00:00, 1941-04-06 06:00:00, 0.666754, 0:00:00, 0.0 
1941-05-03 05:00:00, 1941-05-03 16:00:00, 5.759783, 11:00:00, 0.0 
1941-09-20 04:00:00, 1941-09-20 04:00:00, 0.681120, 0:00:00, 0.0 
1941-12-13 10:00:00, 1941-12-13 11:00:00, 0.747961, 1:00:00, 0.0 
1942-01-28 09:00:00, 1942-01-29 15:00:00, 19.614237, 1 day, 6:00:00, 0.0 
1942-02-07 08:00:00, 1942-02-07 08:00:00, 0.669743, 0:00:00, 0.0 
1942-02-24 19:00:00, 1942-02-25 12:00:00, 7.986226, 17:00:00, 0.0 
1942-03-03 00:00:00, 1942-03-03 05:00:00, 6.190706, 5:00:00, 0.0 
1942-03-28 20:00:00, 1942-03-29 15:00:00, 28.333357, 19:00:00, 0.0 
1942-04-11 11:00:00, 1942-04-11 11:00:00, 0.773996, 0:00:00, 0.0 
1942-04-11 23:00:00, 1942-04-11 23:00:00, 1.115011, 0:00:00, 0.0 
1942-08-06 07:00:00, 1942-08-06 12:00:00, 3.038090, 5:00:00, 0.0 
1943-09-30 04:00:00, 1943-10-01 05:00:00, 28.984759, 1 day, 1:00:00, 0.0 
1943-10-11 00:00:00, 1943-10-11 03:00:00, 2.429598, 3:00:00, 0.0 
1943-10-25 14:00:00, 1943-10-28 04:00:00, 41.157629, 2 days, 14:00:00, 0.0 
1943-12-29 13:00:00, 1943-12-29 18:00:00, 5.107791, 5:00:00, 0.0 
1944-01-04 09:00:00, 1944-01-07 00:00:00, 25.221512, 2 days, 15:00:00, 0.0 
1944-01-09 13:00:00, 1944-01-09 16:00:00, 2.412143, 3:00:00, 0.0 
1944-02-10 01:00:00, 1944-02-10 01:00:00, 0.695661, 0:00:00, 0.0 
1944-02-29 17:00:00, 1944-02-29 20:00:00, 2.459548, 3:00:00, 0.0 
1944-03-05 08:00:00, 1944-03-05 14:00:00, 5.255138, 6:00:00, 0.0 
1944-03-19 22:00:00, 1944-03-20 00:00:00, 1.865428, 2:00:00, 0.0 
1944-04-13 04:00:00, 1944-04-13 04:00:00, 0.805053, 0:00:00, 0.0 
1944-04-28 03:00:00, 1944-04-28 09:00:00, 5.423825, 6:00:00, 0.0 
1944-06-04 10:00:00, 1944-06-05 03:00:00, 7.920106, 17:00:00, 0.0 
1944-08-08 18:00:00, 1944-08-09 08:00:00, 5.553140, 14:00:00, 0.0 
1944-09-14 14:00:00, 1944-09-15 02:00:00, 12.072227, 12:00:00, 0.0 
1944-09-30 14:00:00, 1944-10-01 04:00:00, 9.181865, 14:00:00, 0.0 
1944-10-20 14:00:00, 1944-10-20 19:00:00, 5.996474, 5:00:00, 0.0 
1944-10-29 13:00:00, 1944-10-29 15:00:00, 1.783530, 2:00:00, 0.0 
1944-11-17 18:00:00, 1944-11-19 19:00:00, 19.155604, 2 days, 1:00:00, 0.0 
1944-11-20 18:00:00, 1944-11-20 20:00:00, 1.450836, 2:00:00, 0.0 
1944-11-23 22:00:00, 1944-11-23 22:00:00, 0.734187, 0:00:00, 0.0 
1944-11-24 10:00:00, 1944-11-24 10:00:00, 0.734298, 0:00:00, 0.0 
1944-11-30 04:00:00, 1944-11-30 04:00:00, 0.687077, 0:00:00, 0.0 
1944-12-08 06:00:00, 1944-12-08 11:00:00, 4.394438, 5:00:00, 0.0 
1945-01-08 21:00:00, 1945-01-08 22:00:00, 0.681959, 1:00:00, 0.0 
1945-01-16 03:00:00, 1945-01-16 05:00:00, 1.674795, 2:00:00, 0.0 
1945-06-26 04:00:00, 1945-06-26 15:00:00, 13.629305, 11:00:00, 0.0 
1945-09-17 10:00:00, 1945-09-19 01:00:00, 41.040796, 1 day, 15:00:00, 0.0 
1945-11-04 14:00:00, 1945-11-04 17:00:00, 1.478651, 3:00:00, 0.0 
1945-11-14 22:00:00, 1945-11-15 07:00:00, 4.171051, 9:00:00, 0.0 
1945-11-29 23:00:00, 1945-12-03 16:00:00, 43.924323, 3 days, 17:00:00, 0.0 
1945-12-05 00:00:00, 1945-12-08 03:00:00, 85.086299, 3 days, 3:00:00, 0.0 
1945-12-19 13:00:00, 1945-12-19 14:00:00, 0.834406, 1:00:00, 0.0 
1945-12-31 00:00:00, 1945-12-31 00:00:00, 0.672511, 0:00:00, 0.0 
1945-12-31 14:00:00, 1945-12-31 14:00:00, 0.759236, 0:00:00, 0.0 
1946-01-16 14:00:00, 1946-01-18 17:00:00, 22.833718, 2 days, 3:00:00, 0.0 
1946-01-21 06:00:00, 1946-01-21 15:00:00, 0.698704, 9:00:00, 0.0 
1946-01-22 16:00:00, 1946-01-22 18:00:00, 0.749390, 2:00:00, 0.0 
1946-02-10 22:00:00, 1946-02-11 12:00:00, 8.648527, 14:00:00, 0.0 
1946-02-24 19:00:00, 1946-02-25 11:00:00, 6.369464, 16:00:00, 0.0 
1946-03-19 13:00:00, 1946-03-21 19:00:00, 58.499933, 2 days, 6:00:00, 0.0 
1946-03-30 22:00:00, 1946-03-31 15:00:00, 10.808586, 17:00:00, 0.0 
1946-05-04 02:00:00, 1946-05-04 19:00:00, 10.407394, 17:00:00, 0.0 
1946-05-29 01:00:00, 1946-05-30 04:00:00, 15.229302, 1 day, 3:00:00, 0.0 
1946-06-03 05:00:00, 1946-06-03 06:00:00, 0.773930, 1:00:00, 0.0 
1946-07-16 14:00:00, 1946-07-17 17:00:00, 11.150827, 1 day, 3:00:00, 0.0 
1946-09-13 12:00:00, 1946-09-14 19:00:00, 21.388268, 1 day, 7:00:00, 0.0 
1946-10-09 02:00:00, 1946-10-11 05:00:00, 34.626947, 2 days, 3:00:00, 0.0 
1946-10-22 03:00:00, 1946-10-22 03:00:00, 0.681794, 0:00:00, 0.0 
1946-11-19 01:00:00, 1946-11-19 01:00:00, 0.682403, 0:00:00, 0.0 
1946-12-30 18:00:00, 1946-12-30 19:00:00, 0.728050, 1:00:00, 0.0 
1947-01-14 10:00:00, 1947-01-14 21:00:00, 2.172441, 11:00:00, 0.0 
1947-01-27 19:00:00, 1947-01-27 19:00:00, 0.665221, 0:00:00, 0.0 
1947-02-08 14:00:00, 1947-02-08 14:00:00, 0.661277, 0:00:00, 0.0 
1947-02-19 11:00:00, 1947-02-19 16:00:00, 5.006372, 5:00:00, 0.0 
1947-02-20 12:00:00, 1947-02-21 17:00:00, 18.757680, 1 day, 5:00:00, 0.0 
1947-03-08 14:00:00, 1947-03-08 18:00:00, 4.834794, 4:00:00, 0.0 
1947-04-22 00:00:00, 1947-04-23 04:00:00, 13.399938, 1 day, 4:00:00, 0.0 
1947-06-09 04:00:00, 1947-06-09 04:00:00, 0.742038, 0:00:00, 0.0 
1947-09-24 21:00:00, 1947-09-26 02:00:00, 19.799875, 1 day, 5:00:00, 0.0 
1947-09-27 03:00:00, 1947-09-27 03:00:00, 0.679025, 0:00:00, 0.0 
1947-11-01 00:00:00, 1947-11-04 08:00:00, 91.221271, 3 days, 8:00:00, 0.0 
1947-11-05 05:00:00, 1947-11-05 09:00:00, 2.249854, 4:00:00, 0.0 
1947-11-05 22:00:00, 1947-11-06 10:00:00, 2.101093, 12:00:00, 0.0 
1947-11-09 00:00:00, 1947-11-09 02:00:00, 1.771493, 2:00:00, 0.0 
1947-11-12 14:00:00, 1947-11-12 15:00:00, 0.809727, 1:00:00, 0.0 
1947-11-16 02:00:00, 1947-11-16 06:00:00, 3.112162, 4:00:00, 0.0 
1948-01-05 07:00:00, 1948-01-06 00:00:00, 12.666809, 17:00:00, 0.0 
1948-01-07 00:00:00, 1948-01-07 00:00:00, 0.660928, 0:00:00, 0.0 
1948-01-24 13:00:00, 1948-01-24 15:00:00, 1.991354, 2:00:00, 0.0 
1948-02-01 08:00:00, 1948-02-01 21:00:00, 5.415433, 13:00:00, 0.0 
1948-02-10 11:00:00, 1948-02-10 17:00:00, 7.172883, 6:00:00, 0.0 
1948-02-22 09:00:00, 1948-02-24 04:00:00, 26.628424, 1 day, 19:00:00, 0.0 
1948-03-04 23:00:00, 1948-03-05 14:00:00, 6.666585, 15:00:00, 0.0 
1948-03-12 05:00:00, 1948-03-12 05:00:00, 0.722373, 0:00:00, 0.0 
1948-04-28 18:00:00, 1948-04-29 09:00:00, 9.061710, 15:00:00, 0.0 
1948-06-03 13:00:00, 1948-06-04 02:00:00, 3.300054, 13:00:00, 0.0 
1948-07-08 04:00:00, 1948-07-08 06:00:00, 1.474591, 2:00:00, 0.0 
1948-09-01 00:00:00, 1948-09-01 01:00:00, 0.812772, 1:00:00, 0.0 
1948-09-24 03:00:00, 1948-09-24 09:00:00, 5.591148, 6:00:00, 0.0 
1948-10-05 04:00:00, 1948-10-06 01:00:00, 24.961994, 21:00:00, 0.0 
1948-10-07 07:00:00, 1948-10-07 08:00:00, 0.716975, 1:00:00, 0.0 
1948-10-07 21:00:00, 1948-10-07 21:00:00, 0.718253, 0:00:00, 0.0 
1948-10-24 19:00:00, 1948-10-26 11:00:00, 20.816562, 1 day, 16:00:00, 0.0 
1948-11-29 01:00:00, 1948-11-29 03:00:00, 1.790688, 2:00:00, 0.0 
1948-11-29 23:00:00, 1948-11-30 04:00:00, 5.258290, 5:00:00, 0.0 
1948-11-30 16:00:00, 1948-11-30 16:00:00, 0.720203, 0:00:00, 0.0 
1948-12-04 16:00:00, 1948-12-04 19:00:00, 2.883568, 3:00:00, 0.0 
1948-12-05 18:00:00, 1948-12-06 08:00:00, 3.673678, 14:00:00, 0.0 
1948-12-20 18:00:00, 1948-12-20 20:00:00, 1.591692, 2:00:00, 0.0 
1949-01-29 13:00:00, 1949-01-29 16:00:00, 2.420148, 3:00:00, 0.0 
1949-02-10 23:00:00, 1949-02-11 00:00:00, 0.725761, 1:00:00, 0.0 
1949-02-26 00:00:00, 1949-02-26 03:00:00, 1.458524, 3:00:00, 0.0 
